City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,chokurdakh,70.6333,147.9167,-43.57,100,68,0.68,RU
97,coquimbo,-29.9533,-71.3436,21.85,68,0,5.14,CL
98,gradignan,44.7726,-0.6139,10.14,96,16,2.57,FR
99,saint george,37.1041,-113.5841,11.35,23,0,2.68,US
100,nelson bay,-32.7167,152.15,25.56,76,0,3.58,AU
101,krasnoselkup,65.7,82.4667,-7.75,93,100,3.7,RU
102,coracora,-15.0333,-73.7833,11.39,79,82,3.69,PE
103,anloga,5.7947,0.8973,27.04,69,7,2.36,GH
104,beringovskiy,63.05,179.3167,-23.25,96,100,6.76,RU
105,hambantota,6.1241,81.1185,22.95,87,67,3.93,LK
106,egvekinot,66.3167,-179.1667,-30.7,86,100,6.08,RU
107,kieta,-6.2167,155.6333,28.7,71,100,0.86,PG
108,luau,-10.7073,22.2247,18.3,95,100,1.71,AO
109,souillac,-20.5167,57.5167,23.21,88,20,1.54,MU
110,mazatlan,23.2167,-106.4167,26.98,68,40,3.6,MX
111,nanortalik,60.1432,-45.2371,-1.42,74,100,12.37,GL
112,ponta do sol,32.6667,-17.1,17.06,70,71,2.62,PT
113,makueni,-1.8041,37.6203,15.85,67,68,0.8,KE
114,marawi,7.9986,124.2928,20.52,98,100,0.91,PH
115,dingle,10.9995,122.6711,23.71,90,100,4.64,PH
116,haines junction,60.7522,-137.5108,-11.03,73,100,0.51,CA
117,rabo de peixe,37.8,-25.5833,14.73,88,75,4.12,PT
118,saskylakh,71.9167,114.0833,-35.42,100,100,1.4,RU
119,mathbaria,22.2876,89.9593,18.85,89,4,0.89,BD
120,camacha,33.0833,-16.3333,14.68,77,40,6.17,PT
121,mecca,21.4267,39.8261,20.88,51,75,1.69,SA
122,maniitsoq,65.4167,-52.9,-4.22,77,100,4.37,GL
123,torbay,47.6666,-52.7314,1.99,76,100,2.06,CA
124,mahebourg,-20.4081,57.7,23.47,88,20,1.54,MU
125,hithadhoo,-0.6,73.0833,27.28,74,74,5.22,MV
126,dunedin,-45.8742,170.5036,19.89,64,23,1.79,NZ
127,calbuco,-41.768,-73.1273,18.56,60,0,6.47,CL
128,puerto ayora,-0.7393,-90.3518,30.98,87,41,2.24,EC
129,turukhansk,65.8167,87.9833,-19.02,97,97,2.37,RU
130,chimbote,-9.0853,-78.5783,25.41,70,63,3.52,PE
131,lorengau,-2.0226,147.2712,28.26,73,99,1.62,PG
132,srandakan,-7.9386,110.2506,24.37,90,95,2.54,ID
133,kumbo,6.2,10.6667,17.02,29,12,1.71,CM
134,meulaboh,4.1363,96.1285,23.72,90,80,1.72,ID
135,manokwari,-0.8667,134.0833,26.43,77,98,1.34,ID
136,te anau,-45.4167,167.7167,21.25,50,14,0.37,NZ
137,kapaa,22.0752,-159.319,23.99,86,0,0.0,US
138,bloomfield,40.8068,-74.1854,6.81,63,100,10.29,US
139,medowie,-32.7333,151.8667,25.39,76,0,1.3,AU
140,slave lake,55.2834,-114.769,-3.01,74,100,4.12,CA
141,dhidhdhoo,6.8833,73.1,26.12,69,24,2.47,MV
142,oranjemund,-28.55,16.4333,18.39,89,91,3.26,NA
143,batemans bay,-35.7167,150.1833,29.58,43,20,2.69,AU
144,borodino,55.9106,94.8983,-8.05,91,100,7.88,RU
145,ishigaki,24.3448,124.1572,21.07,64,54,5.14,JP
146,daru,-9.0763,143.2092,25.91,89,100,2.52,PG
147,leshukonskoye,64.8989,45.7622,-10.11,91,70,4.52,RU
148,cayenne,4.9333,-52.3333,25.02,83,0,2.57,GF
149,sampit,-2.5333,112.95,23.07,97,85,0.76,ID
150,saint-philippe,-21.3585,55.7679,23.77,83,60,3.51,RE
151,longyearbyen,78.2186,15.6401,-7.09,73,75,7.72,SJ
152,port elizabeth,-33.918,25.5701,20.16,88,100,2.06,ZA
153,mayo,38.8876,-76.5119,8.06,59,100,9.26,US
154,san patricio,28.017,-97.5169,14.05,30,82,5.58,US
155,paso de los toros,-32.8167,-56.5167,11.53,71,51,6.92,UY
156,megion,61.0296,76.1136,-16.99,100,95,2.99,RU
157,cherlak,54.155,74.8055,-15.42,89,100,5.22,RU
158,iqaluit,63.7506,-68.5145,-32.15,62,20,7.72,CA
159,codrington,-38.2667,141.9667,18.96,62,56,3.6,AU
160,roseburg,43.2165,-123.3417,14.73,45,0,1.54,US
161,gaoua,10.2992,-3.2508,25.05,14,62,2.57,BF
162,upernavik,72.7868,-56.1549,-29.45,98,39,4.56,GL
163,boone,39.0334,-92.3335,6.14,44,0,2.47,US
164,carnarvon,-24.8667,113.6333,24.27,66,0,9.09,AU
165,kualakapuas,-3.0091,114.3876,23.35,97,69,0.9,ID
166,sovetskiy,61.3614,63.5842,-23.24,100,100,1.57,RU
167,kaabong,3.4836,34.1492,21.38,39,33,6.31,UG
168,punakha,27.5837,89.8598,13.47,73,79,1.08,BT
169,bella vista,36.4295,-94.2316,7.55,35,0,4.12,US
170,eyl,7.9803,49.8164,22.44,79,52,6.07,SO
171,tigil,57.8,158.6667,-20.07,90,98,2.84,RU
172,abu samrah,35.3029,37.1841,5.33,64,0,0.75,SY
173,chulumani,-16.4096,-67.5263,19.04,98,100,1.0,BO
174,kirkuk,35.4681,44.3922,3.58,46,0,2.4,IQ
175,santa rosa,14.3122,121.1114,24.99,86,61,3.86,PH
176,tiksi,71.6872,128.8694,-26.9,100,100,0.76,RU
177,guerrero negro,27.9769,-114.0611,19.24,19,100,1.97,MX
178,vestmannaeyjar,63.4427,-20.2734,1.03,75,52,4.55,IS
179,balakhonovskoye,44.7767,41.7842,-2.96,91,100,2.17,RU
180,tortoli,39.9256,9.6572,10.9,82,75,4.63,IT
181,dutse,11.7594,9.3392,18.45,25,41,5.37,NG
182,malangali,-8.5667,34.85,16.31,96,98,2.32,TZ
183,richards bay,-28.783,32.0377,21.86,92,100,2.57,ZA
184,sawang daen din,17.4753,103.4575,20.66,99,70,2.69,TH
185,kaitangata,-46.2817,169.8464,19.91,56,7,2.08,NZ
186,saint-francois,46.4154,3.9054,10.69,95,100,0.51,FR
187,naze,28.3667,129.4833,16.51,69,37,3.89,JP
188,hamilton,39.1834,-84.5333,0.23,62,100,6.17,US
189,aykhal,66.0,111.5,-24.32,99,100,3.49,RU
190,vysha,53.8477,42.3777,-6.83,98,100,0.98,RU
191,muborak,39.2553,65.1528,3.45,73,2,3.11,UZ
192,nyrob,60.733,56.7202,-18.77,99,98,1.2,RU
193,teya,60.3778,92.6267,-8.92,95,100,2.26,RU
194,freeport,40.6576,-73.5832,6.99,74,75,13.89,US
195,san rafael,-34.6177,-68.3301,15.49,10,13,6.41,AR
196,broken hill,-31.95,141.4333,24.29,28,2,7.34,AU
197,sur,22.5667,59.5289,23.82,44,1,2.17,OM
198,ustye,59.6304,39.736,-8.35,93,100,4.48,RU
199,bambanglipuro,-7.95,110.2833,24.25,90,95,2.48,ID
200,faanui,-16.4833,-151.75,26.94,73,99,2.97,PF
201,novo aripuana,-5.1206,-60.3797,22.53,99,100,1.89,BR
202,sinnamary,5.3833,-52.95,24.08,88,57,4.77,GF
203,bani,18.2833,-70.3333,27.7,55,0,7.81,DO
204,sioux lookout,50.1001,-91.917,-5.96,68,100,7.2,CA
205,kruisfontein,-34.0033,24.7314,18.82,92,98,2.35,ZA
206,sabaudia,41.3003,13.0282,10.26,80,0,2.6,IT
207,tamandare,-8.7597,-35.1047,26.44,73,25,5.23,BR
208,agadez,19.75,10.25,14.69,23,90,2.44,NE
209,chuy,-33.6971,-53.4616,13.91,65,25,6.5,UY
210,geraldton,-28.7667,114.6,16.23,88,0,3.09,AU
211,turka,49.1541,23.0297,3.78,94,100,4.35,UA
212,deputatskiy,69.3,139.9,-35.12,85,99,1.6,RU
213,flinders,-34.5833,150.8552,26.32,71,3,3.71,AU
214,caruray,10.3094,119.0128,24.36,85,83,2.24,PH
215,victoria,22.2855,114.1577,19.41,76,56,1.79,HK
216,ponnani,10.767,75.9252,23.62,89,10,2.0,IN
217,cachoeira do sul,-30.0392,-52.8939,20.3,21,5,4.72,BR
218,axim,4.8699,-2.2405,25.79,84,12,1.62,GH
219,half moon bay,37.4636,-122.4286,17.67,38,0,6.17,US
220,shihezi,44.3,86.0333,-13.84,97,99,1.74,CN
221,pangnirtung,66.1451,-65.7125,-33.0,68,20,0.0,CA
222,bhuban,20.8833,85.8333,18.68,93,0,0.1,IN
223,pasni,25.2631,63.471,23.76,43,1,3.97,PK
224,pevek,69.7008,170.3133,-41.66,97,92,1.31,RU
225,naliya,23.2667,68.8333,20.87,59,0,2.68,IN
226,marsa matruh,31.3525,27.2453,10.11,76,20,2.06,EG
227,provideniya,64.3833,-173.3,-17.94,55,100,15.0,RU
228,atar,20.5169,-13.0499,22.63,25,0,4.26,MR
229,tura,25.5198,90.2201,15.96,47,0,1.49,IN
230,diffa,13.3154,12.6113,19.46,27,6,6.83,NE
231,sao filipe,14.8961,-24.4956,21.51,70,79,4.38,CV
232,nantucket,41.2835,-70.0995,10.64,98,100,7.72,US
233,sept-iles,50.2001,-66.3821,-13.0,52,75,2.06,CA
234,isangel,-19.55,169.2667,26.22,77,75,6.53,VU
235,bubaque,11.2833,-15.8333,23.37,74,100,8.12,GW
236,biak,-0.9131,122.8766,23.96,90,98,0.15,ID
237,zhaoyuan,37.3592,120.3964,2.98,87,99,1.91,CN
238,san buenaventura,27.0833,-101.5333,11.93,17,92,3.72,MX
239,mount isa,-20.7333,139.5,20.87,100,100,4.12,AU
240,yarmouth,41.7057,-70.2286,10.03,95,100,5.66,US
241,alofi,-19.0595,-169.9187,28.94,79,75,3.09,NU
242,wagar,16.1525,36.2032,19.34,67,0,5.32,SD
243,cidreira,-30.1811,-50.2056,22.33,49,43,3.23,BR
244,laguna,38.421,-121.4238,17.64,28,0,5.66,US
245,martapura,-3.4167,114.85,25.05,100,100,1.54,ID
246,mujiayingzi,42.1167,118.7833,-7.02,58,99,2.01,CN
247,almoradi,38.1088,-0.792,13.95,81,79,0.89,ES
248,stolnici,44.5667,24.7833,5.38,74,74,3.89,RO
249,batagay-alyta,67.8006,130.4114,-27.61,99,100,0.19,RU
250,sinazongwe,-17.2614,27.4618,23.33,90,100,1.86,ZM
251,kiunga,-6.1219,141.2906,26.28,86,98,1.13,PG
252,nishihara,26.1842,127.7558,17.6,68,20,2.57,JP
253,havre-saint-pierre,50.2334,-63.5986,-11.0,56,100,1.03,CA
254,mashhad,36.297,59.6062,2.08,100,100,4.12,IR
255,cape coast,5.1053,-1.2466,25.84,84,11,2.51,GH
256,valparaiso,-33.0393,-71.6273,21.11,61,0,4.12,CL
257,leningradskiy,69.3833,178.4167,-37.04,96,95,1.2,RU
258,boca do acre,-8.7522,-67.3978,25.04,91,68,1.75,BR
259,kropotkin,45.4375,40.5756,2.06,94,100,8.91,RU
260,itacarambi,-15.1022,-44.0919,24.59,72,100,1.66,BR
261,amuntai,-2.4177,115.2494,23.05,97,74,0.34,ID
262,nusaybin,37.0778,41.2178,1.59,46,1,2.51,TR
263,hit,33.6416,42.8251,7.3,41,0,3.17,IQ
264,banswara,23.55,74.45,20.26,28,0,1.73,IN
265,evensk,61.95,159.2333,-18.42,72,100,3.34,RU
266,manggar,-2.8833,108.2667,25.61,85,80,3.65,ID
267,tokat,40.4167,36.5833,-8.95,83,40,2.83,TR
268,huancavelica,-12.7667,-74.9833,1.59,98,100,2.43,PE
269,gizo,-8.103,156.8419,27.82,78,100,4.03,SB
270,chapais,49.7834,-74.8492,-19.12,96,95,1.12,CA
271,ancud,-41.8697,-73.8203,15.12,56,0,1.75,CL
272,nikolskoye,59.7035,30.7861,-3.06,89,100,5.84,RU
273,pesochnyy,60.123,30.164,-3.12,90,100,6.51,RU
274,esperance,-33.8667,121.9,18.46,81,0,2.94,AU
275,russellville,35.2784,-93.1338,9.99,33,0,1.54,US
276,markova,48.6758,24.4138,6.32,78,100,8.61,UA
277,westport,41.1415,-73.3579,6.63,76,100,6.69,US
278,pietersburg,-23.9045,29.4688,17.7,88,100,4.43,ZA
279,marienburg,54.0359,19.0266,8.35,64,92,12.61,PL
280,ahipara,-35.1667,173.1667,21.68,58,22,2.0,NZ
281,cap malheureux,-19.9842,57.6142,23.59,76,95,0.89,MU
282,vardo,70.3705,31.1107,-1.01,100,75,5.14,NO
283,beyla,8.6833,-8.6333,24.17,14,30,0.84,GN
284,bathsheba,13.2167,-59.5167,26.34,65,20,7.72,BB
285,ankazobe,-18.3167,47.1167,18.55,92,100,0.42,MG
286,shache,38.4167,77.2406,0.42,57,61,2.9,CN
287,bardiyah,31.7561,25.0865,13.85,61,54,2.96,LY
288,pokhara,28.2333,83.9833,14.1,50,0,2.32,NP
289,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,1.54,EC
290,zhigansk,66.7697,123.3711,-24.58,98,100,4.13,RU
291,acarau,-2.8856,-40.12,25.32,88,100,4.11,BR
292,lasa,46.6166,10.7002,8.49,83,100,2.58,IT
293,novikovo,51.1537,37.8879,-16.73,100,84,1.77,RU
294,nakuru,-0.2833,36.0667,14.21,63,59,1.01,KE
295,cianorte,-23.6633,-52.605,19.16,96,83,1.49,BR
296,lukovetskiy,64.2956,41.9211,-8.11,89,98,4.82,RU
297,otradnoye,59.7775,30.8181,-2.97,89,100,5.84,RU
298,langxiang,46.95,128.8833,-16.69,99,84,1.8,CN
299,ilulissat,69.2167,-51.1,-18.99,65,75,1.03,GL
300,san mateo del mar,16.2,-95.0,22.86,63,27,18.61,MX
301,stokmarknes,68.5646,14.9108,2.98,69,100,5.14,NO
302,bowen,-20.0167,148.2333,24.2,81,100,3.9,AU
303,san vicente,-26.6167,-54.1333,21.05,28,36,3.04,AR
304,san jose,37.3394,-121.895,18.25,33,100,2.24,US
305,imeni poliny osipenko,52.4201,136.4853,-22.28,98,100,0.77,RU
306,ahuimanu,21.4447,-157.8378,22.84,92,100,2.06,US
307,pala,9.3642,14.9046,22.28,19,4,3.34,TD
308,nuevo progreso,23.1667,-97.95,18.27,12,100,4.02,MX
309,broome,42.2506,-75.833,-2.39,83,100,9.26,US
310,camopi,3.1655,-52.3158,22.11,99,90,1.22,GF
311,morehead,37.2711,-87.1764,1.11,67,100,5.66,US
312,kahului,20.8947,-156.47,23.8,90,75,3.6,US
313,salaga,8.5508,-0.5188,27.38,16,59,2.26,GH
314,carauari,-4.8828,-66.8958,24.25,97,100,1.3,BR
315,nome,64.5011,-165.4064,-11.96,67,0,8.75,US
316,rawson,-43.3002,-65.1023,13.1,51,82,6.25,AR
317,mahon,39.8885,4.2658,8.31,93,0,2.06,ES
318,la ronge,55.1001,-105.2842,-13.86,61,100,3.09,CA
319,antofagasta,-23.65,-70.4,23.6,78,28,1.23,CL
320,canon city,38.441,-105.2424,12.71,26,0,2.57,US
321,lerwick,60.1545,-1.1494,5.0,61,100,7.06,GB
322,rundu,-17.9333,19.7667,23.63,17,100,3.34,NA
323,henties bay,-22.116,14.2845,18.13,85,2,2.95,NA
324,saravan,39.7196,45.6483,-12.74,70,6,2.97,AM
325,thinadhoo,0.5333,72.9333,27.39,73,92,5.55,MV
326,suclayin,15.7568,121.5503,20.31,91,46,1.2,PH
327,bandarbeyla,9.4942,50.8122,23.41,74,8,6.83,SO
328,paracatu,-17.2222,-46.8747,22.39,80,93,3.76,BR
329,fort nelson,58.8053,-122.7002,-15.03,72,75,1.34,CA
330,labuhan,-6.8844,112.2051,25.03,87,98,4.23,ID
331,port lincoln,-34.7333,135.8667,19.57,60,38,4.22,AU
332,rahon,31.05,76.1167,14.6,66,82,2.82,IN
333,rantauprapat,2.1,99.8333,22.13,97,68,0.9,ID
334,ilebo,-4.3167,20.5833,23.0,85,89,0.76,CD
335,aguimes,27.9054,-15.4461,15.92,77,20,3.09,ES
336,tezu,27.9167,96.1667,17.93,44,43,1.88,IN
337,san lawrenz,36.0553,14.204,9.67,69,25,3.07,MT
338,carballo,43.213,-8.691,11.68,83,0,1.31,ES
339,comodoro rivadavia,-45.8667,-67.5,14.92,44,0,8.75,AR
340,talnakh,69.4865,88.3972,-13.77,95,100,4.35,RU
341,roald,62.5833,6.1333,4.86,81,75,6.69,NO
342,beidao,34.5686,105.8933,3.09,71,97,2.42,CN
343,roma,43.2128,-75.4557,-3.91,78,100,7.72,US
344,tahoua,14.8888,5.2692,19.39,12,73,8.49,NE
345,svetlogorsk,52.6333,29.7333,0.69,97,100,6.65,BY
